State,Location,Latitude,Longitude
Andhra Pradesh,Pavuluru,15.85,80.16
Andhra Pradesh,Pedana,16.26,81.14
Andhra Pradesh,pedda nakkalapalem,15.87,80.16
Andhra Pradesh,Peddapuram,17.08,82.14
Andhra Pradesh,Penugonda,16.65,81.75
Andhra Pradesh,Penukonda,14.08,77.59
Andhra Pradesh,Phirangipuram,16.29,80.26
Andhra Pradesh,Pippara,16.72,81.55
Andhra Pradesh,Pithapuram,17.12,82.25
Andhra Pradesh,Polavaram,17.25,81.64
Andhra Pradesh,Ponnur,16.07,80.55
Andhra Pradesh,Ponnuru,16.07,80.55
Andhra Pradesh,Prakasam,15.50,79.50
Andhra Pradesh,Proddatur,14.75,78.55
Andhra Pradesh,Pulivendla,14.42,78.23
Andhra Pradesh,Punganuru,13.37,78.57
Andhra Pradesh,Puttaparthi,14.17,77.81
Andhra Pradesh,Puttur,13.44,79.55
Andhra Pradesh,Rajahmundry,17.01,81.78
Andhra Pradesh,Ramachandrapuram,16.84,82.03
Andhra Pradesh,Ramanayyapeta,16.95,82.24
Andhra Pradesh,Ramapuram,15.29,77.87
Andhra Pradesh,Rampachodavaram,17.44,81.78
Andhra Pradesh,Rayachoti,14.06,78.75
Andhra Pradesh,Rayadrug,14.70,76.85
Andhra Pradesh,Razam,18.45,83.66
Andhra Pradesh,Razampeta,14.20,79.16
Andhra Pradesh,Razole,16.48,81.84
Andhra Pradesh,Renigunta,13.65,79.51
Andhra Pradesh,Repalle,16.02,80.83
Andhra Pradesh,Salur,18.52,83.21
Andhra Pradesh,Samalkot,17.06,82.18
Andhra Pradesh,Sattenapalle,16.39,80.15
Andhra Pradesh,Singarayakonda,15.23,80.03
Andhra Pradesh,Sompeta,18.94,84.58
Andhra Pradesh,Srikakulam,18.30,83.90
Andhra Pradesh,Srisailain,16.07,78.87
Andhra Pradesh,Suluru,13.70,80.02
Andhra Pradesh,Tadepalle,16.48,80.60
Andhra Pradesh,Tadepallegudem,16.81,81.53
Andhra Pradesh,Tadpatri,14.91,78.01
Andhra Pradesh,Tanuku,16.75,81.68
Andhra Pradesh,Tekkali,18.61,84.24
Andhra Pradesh,Tirumala,13.68,79.35
Andhra Pradesh,Tirupati,13.64,79.42
Andhra Pradesh,Tuni,17.36,82.55
Andhra Pradesh,Uravakonda,14.94,77.25
Andhra Pradesh,vadlamuru,17.10,82.17
Andhra Pradesh,Vadlapudi,14.31,79.80
Andhra Pradesh,Venkatagiri,13.96,79.58
Andhra Pradesh,Vepagunta,17.78,83.22
Andhra Pradesh,Vetapalem,15.79,80.31
Andhra Pradesh,Vijayawada,16.51,80.65
Andhra Pradesh,Vinukonda,16.05,79.74
Andhra Pradesh,Visakhapatnam,17.68,83.20
Andhra Pradesh,Vizianagaram,18.12,83.41
Andhra Pradesh,Vuyyuru,16.36,80.84
Andhra Pradesh,West Godavari,17.00,81.17
Andhra Pradesh,Yanam,16.73,82.21
Andhra Pradesh,Yanamalakuduru,16.49,80.67
Andhra Pradesh,Yarada,17.66,83.27
Arunachal Pradesh,Along,28.17,94.80
Arunachal Pradesh,Anjaw,28.07,96.83
Arunachal Pradesh,Basar,27.99,94.69
Arunachal Pradesh,Bomdila,27.26,92.42
Arunachal Pradesh,Changlang,27.36,96.35
Arunachal Pradesh,Dibang Valley,28.70,95.70
Arunachal Pradesh,East Kameng,27.30,93.05
Arunachal Pradesh,East Siang,28.12,95.16
Arunachal Pradesh,Hayuliang,28.07,96.54
Arunachal Pradesh,Itanagar,27.09,93.61
Arunachal Pradesh,Khonsa,27.02,95.57
Arunachal Pradesh,Kurung Kumey,28.00,93.39
Arunachal Pradesh,Lohit,27.84,96.20
Arunachal Pradesh,Lower Dibang Valley,28.37,95.88
Arunachal Pradesh,Lower Subansiri,27.63,93.94
Arunachal Pradesh,Margherita,27.28,95.67
Arunachal Pradesh,Naharlagun,27.10,93.70
Arunachal Pradesh,Pasighat,28.07,95.33
Arunachal Pradesh,Tawang,27.57,91.92
Arunachal Pradesh,Tezu,27.91,96.13
Arunachal Pradesh,Tirap,27.02,95.52
Arunachal Pradesh,Upper Siang,28.83,94.92
Arunachal Pradesh,Upper Subansiri,28.30,94.00
Arunachal Pradesh,West Kameng,27.40,92.35
Arunachal Pradesh,West Siang,28.40,94.55
Arunachal Pradesh,Ziro,27.59,93.84
Assam,Abhayapuri,26.32,90.69
Assam,Amguri,26.81,94.53
Assam,Badarpur,24.87,92.60
Assam,Baksa,26.70,91.15
Assam,Barpathar,26.29,93.89
Assam,Barpeta,26.47,91.03
Assam,Barpeta Road,26.50,90.97
Assam,Basugaon,26.47,90.42
Assam,Bihpuriagaon,27.02,93.92
Assam,Bijni,26.50,90.70
Assam,Bilasipara,26.23,90.23
Assam,Bokajan,26.02,93.78
Assam,Bokakhat,26.64,93.60
Assam,Bongaigaon,26.46,90.65
Assam,Cachar,24.78,92.86
Assam,Chabua,27.48,95.17
Assam,Chapar,26.27,90.45
Assam,Chirang,26.53,90.49
Assam,Darrang,26.51,92.17
Assam,Dergaon,26.70,93.97
Assam,Dhekiajuli,26.70,92.48
Assam,Dhemaji,27.61,94.79
Assam,Dhing,26.47,92.47
Assam,Dhubri,26.07,90.02
Assam,Dibrugarh,27.50,95.00
Assam,Digboi,27.39,95.62
Assam,Dima Hasao,25.50,93.00
Assam,Diphu,25.84,93.43
Assam,Dispur,26.14,91.80
Assam,Duliagaon,27.37,95.31
Assam,Dum Duma,27.57,95.56
Assam,Gauripur,26.08,89.96
Assam,Goalpara,26.13,90.61
Assam,Gohpur,26.88,93.62
Assam,Golaghat,26.41,93.91
Assam,Golakganj,26.10,89.82
Assam,Goshaingaon,26.44,89.96
Assam,Guwahati,26.18,91.75
Assam,Haflong,25.16,93.02
Assam,Hailakandi,24.50,92.60
Assam,Hajo,26.25,91.53
Assam,Hojai,26.00,92.86
Assam,Howli,26.42,90.98
Assam,Jogighopa,26.23,90.57
Assam,Jorhat,26.80,94.26
Assam,Kamrup,26.22,91.65
Assam,Karbi Anglong,26.00,93.50
Assam,Karimganj,24.60,92.40
Assam,Kharupatia,26.52,92.15
Assam,Kokrajhar,26.60,90.20
Assam,Lakhimpur,27.35,94.25
Assam,Lakhipur,24.79,93.01
Assam,Lala,24.55,92.62
Assam,Lumding,25.75,93.17
Assam,Mahur,25.18,93.11
Assam,Maibong,25.30,93.14
Assam,Makum,27.49,95.44
Assam,Mangaldai,26.44,92.03
Assam,Mariani,26.66,94.32
Assam,Moranha,27.19,94.92
Assam,Morigaon,26.25,92.34
Assam,Nagaon,26.35,92.69
Assam,Nahorkatiya,27.29,95.34
Assam,Nalbari,26.50,91.40
Assam,Namrup,27.19,95.32
Assam,Nazira,26.92,94.74
Assam,North Guwahati,26.20,91.72
Assam,North Lakhimpur,27.24,94.10
Assam,Numaligarh,26.62,93.72
Assam,Palasbari,26.12,91.54
Assam,Raha,26.23,92.52
Assam,Rangapara,26.84,92.67
Assam,Rangia,26.45,91.61
Assam,Sapatgram,26.34,90.12
Assam,Sarupathar,26.21,96.81
Assam,Sibsagar,26.98,94.64
Assam,Silapathar,27.59,94.72
Assam,Silchar,24.83,92.80
Assam,Soalkuchi,26.17,91.57
Assam,Sonari,27.02,95.02
Assam,Sonitpur,26.77,92.96
Assam,Sorbhog,26.49,90.89
Assam,Tezpur,26.63,92.80
Assam,Tinsukia,27.60,95.60
Assam,Titabar,26.60,94.20
Assam,Udalguri,26.75,92.10
Bihar,Amarpur,25.04,86.90
Bihar,Araria,26.20,87.40
Bihar,Arrah,25.56,84.66
Bihar,Arwal,25.16,84.69
Bihar,Asarganj,25.15,86.69
Bihar,Aurangabad,24.75,84.37
Bihar,Bagaha,27.10,84.09
Bihar,Bahadurganj,26.26,87.82
Bihar,Bairagnia,26.74,85.27
Bihar,Baisi,25.86,87.74
Bihar,Bakhtiyarpur,25.46,85.53
Bihar,Bangaon,25.87,86.51
Bihar,Banka,24.89,86.98
Bihar,Banmankhi,25.89,87.19
Bihar,Bar Bigha,25.22,85.73
Bihar,Barauli,26.38,84.59
Bihar,Barh,25.48,85.71
Bihar,Barhiya,25.29,86.02
Bihar,Bariarpur,25.29,86.58
Bihar,Baruni,25.48,85.97
Bihar,Begusarai,25.42,86.13
Bihar,Belsand,26.44,85.40
Bihar,Bettiah,26.80,84.50
Bihar,Bhabhua,25.04,83.61
Bihar,Bhagalpur,25.29,87.07
Bihar,Bhagirathpur,26.27,86.06
Bihar,Bhawanipur,26.45,87.03
Bihar,Bhojpur,25.31,84.45
Bihar,Bihar Sharif,25.20,85.52
Bihar,Bihariganj,25.73,86.99
Bihar,Bikramganj,25.21,84.26
Bihar,Birpur,26.51,87.01
Bihar,Buddh Gaya,24.70,84.99
Bihar,Buxar,25.50,84.10
Bihar,Chakia,26.42,85.05
Bihar,Chapra,25.78,84.75
Bihar,Chhatapur,26.22,87.00
Bihar,Colgong,25.26,87.23
Bihar,Dalsingh Sarai,25.67,85.84
Bihar,Darbhanga,26.00,86.00
Bihar,Daudnagar,25.03,84.40
Bihar,Dehri,24.90,84.18
Bihar,Dhaka,26.67,85.17
Bihar,Dighwara,25.74,85.01
Bihar,Dinapore,25.64,85.05
Bihar,Dumra,26.57,85.52
Bihar,Dumraon,25.55,84.15
Bihar,Fatwa,25.51,85.31
Bihar,Forbesganj,26.30,87.27
Bihar,Gaya,24.80,85.00
Bihar,Ghoga,25.22,87.16
Bihar,Gopalganj,26.50,84.33
Bihar,Hajipur,25.69,85.21
Bihar,Hilsa,25.32,85.28
Bihar,Hisua,24.83,85.42
Bihar,Islampur,25.14,85.21
Bihar,Jagdispur,25.47,84.42
Bihar,Jahanabad,25.21,84.99
Bihar,Jamalpur,25.31,86.49
Bihar,Jamui,24.92,86.18
Bihar,Jaynagar,26.59,86.14
Bihar,Jehanabad,25.21,85.00
Bihar,Jha-Jha,24.77,86.38
Bihar,Jhanjharpur,26.26,86.28
Bihar,Jogbani,26.40,87.27
Bihar,Kaimur,25.05,83.58
Bihar,Kasba,25.86,87.54
Bihar,Katihar,25.50,87.60
Bihar,Khagaria,25.50,86.47
Bihar,Khagaul,25.58,85.05
Bihar,Kharagpur,25.12,86.56
Bihar,Khusropur,25.48,85.38
Bihar,Kishanganj,26.30,88.00
Bihar,Koath,25.33,84.26
Bihar,Koelwar,25.58,84.80
Bihar,Lakhisarai,25.20,86.20
Bihar,Lalganj,25.87,85.17
Bihar,Luckeesarai,25.18,86.09
Bihar,Madhepura,25.80,87.00
Bihar,Madhipura,25.92,86.79
Bihar,Madhubani,26.35,86.07
Bihar,Maharajgani,26.11,84.50
Bihar,Mairwa,26.23,84.16
Bihar,Maner,25.65,84.87
Bihar,Manihari,25.34,87.62
Bihar,Marhaura,25.97,84.87
Bihar,Masaurhi Buzurg,25.35,85.03
Bihar,Mohiuddinnagar,25.57,85.67
Bihar,Mokameh,25.40,85.92
Bihar,Monghyr,25.37,86.47
Bihar,Mothihari,26.65,84.92
Bihar,Munger,25.36,86.47
Bihar,Murliganj,25.90,87.00
Bihar,Muzaffarpur,26.17,85.42
Bihar,Nabinagar,24.61,84.13
Bihar,Nalanda,25.25,85.58
Bihar,Nasriganj,25.05,84.33
Bihar,Naugachhia,25.39,87.10
Bihar,Nawada,24.75,85.50
Bihar,Nirmali,26.31,86.59
Bihar,Pashchim Champaran,27.00,84.50
Bihar,Patna,25.42,85.17
Bihar,Piro,25.33,84.40
Bihar,Pupri,26.47,85.70
Bihar,Purba Champaran,26.58,84.83
Bihar,Purnia,25.82,87.41
Bihar,Rafiganj,24.82,84.63
Bihar,Raghunathpur,25.64,87.92
Bihar,Rajgir,25.03,85.42
Bihar,Ramnagar,27.16,84.32
Bihar,Raxaul,26.98,84.85
Bihar,Revelganj,25.79,84.64
Bihar,Rohtas,24.98,84.03
Bihar,Rusera,25.75,86.03
Bihar,Sagauli,26.76,84.74
Bihar,Saharsa,25.87,86.60
Bihar,Samastipur,25.75,85.92
Bihar,Saran,25.92,84.75
Bihar,Shahbazpur,26.31,87.29
Bihar,Shahpur,25.60,84.40
Bihar,Sheikhpura,25.13,85.78
Bihar,Sheohar,26.50,85.30
Bihar,Sherghati,24.56,84.79
Bihar,Silao,25.08,85.43
Bihar,Sitamarhi,26.67,85.50
Bihar,Siwan,26.22,84.36
Bihar,Supaul,26.25,86.80
Bihar,Teghra,25.49,85.94
Bihar,Tekari,24.94,84.84
Bihar,Thakurganj,26.43,88.13
Bihar,Vaishali,25.75,85.42
Bihar,Waris Aliganj,25.02,85.64
Chhattisgarh,Akaltara,22.02,82.43
Chhattisgarh,Ambagarh Chauki,20.78,80.75
Chhattisgarh,Ambikapur,23.12,83.20
Chhattisgarh,Arang,21.20,81.97
Chhattisgarh,Baikunthpur,23.26,82.56
Chhattisgarh,Balod,20.73,81.21
Chhattisgarh,Baloda,22.14,82.48
Chhattisgarh,Baloda Bazar,21.66,82.16
Chhattisgarh,Basna,21.28,82.83
Chhattisgarh,Bastar,19.27,81.74
Chhattisgarh,Bemetara,21.72,81.53
Chhattisgarh,Bhanpuri,21.09,80.93
Chhattisgarh,Bhatapara,21.74,81.95
Chhattisgarh,Bhatgaon,21.15,81.70
Chhattisgarh,Bhilai,21.21,81.43
Chhattisgarh,Bijapur,18.84,80.78
Chhattisgarh,Bilaspur,22.38,82.13
Chhattisgarh,Champa,22.04,82.64
Chhattisgarh,Chhuikhadan,21.52,81.00
Chhattisgarh,Deori,21.45,82.62
Chhattisgarh,Dhamtari,20.71,81.55
Chhattisgarh,Dongargaon,20.97,80.85
Chhattisgarh,Dongargarh,21.19,80.75
Chhattisgarh,Durg,21.15,81.40
Chhattisgarh,Gandai,21.67,81.10
Chhattisgarh,Gariaband,20.63,82.06
Chhattisgarh,Gaurela,22.75,81.90
Chhattisgarh,Gharghoda,22.17,83.35
Chhattisgarh,Gidam,18.97,81.40
Chhattisgarh,Jagdalpur,19.08,82.02
Chhattisgarh,Janjgir,22.01,82.58
Chhattisgarh,Janjgir-Champa,21.90,82.70
Chhattisgarh,Jashpur,22.78,83.85
Chhattisgarh,Jashpurnagar,22.89,84.14
Chhattisgarh,Junagarh,19.86,82.93
Chhattisgarh,Kabeerdham,22.10,81.20
Chhattisgarh,Kanker,20.27,81.49
Chhattisgarh,Katghora,22.50,82.54
Chhattisgarh,Kawardha,22.01,81.23
Chhattisgarh,Khairagarh,21.42,80.98
Chhattisgarh,Khamharia,20.98,82.25
Chhattisgarh,Kharod,21.74,82.58
Chhattisgarh,Kharsia,21.99,83.10
Chhattisgarh,Kirandul,18.64,81.26
Chhattisgarh,Kondagaon,19.59,81.66
Chhattisgarh,Korba,22.50,82.60
Chhattisgarh,Koriya,23.48,82.15
Chhattisgarh,Kota,22.30,82.02
Chhattisgarh,Kotaparh,19.14,82.33
Chhattisgarh,Kumhari,21.27,81.52
Chhattisgarh,Kurud,20.83,81.72
Chhattisgarh,Lormi,22.27,81.70
Chhattisgarh,Mahasamund,21.20,82.50
Chhattisgarh,Mungeli,22.07,81.69
Chhattisgarh,Narayanpur,19.60,81.08
Chhattisgarh,Narharpur,20.45,81.62
Chhattisgarh,Pandaria,22.22,81.41
Chhattisgarh,Pandatarai,22.19,81.33
Chhattisgarh,Pasan,22.84,82.20
Chhattisgarh,Patan,21.03,81.53
Chhattisgarh,Pathalgaon,22.56,83.46
Chhattisgarh,Pendra,22.78,81.96
Chhattisgarh,Pithora,21.25,82.52
Chhattisgarh,Raigarh,22.09,83.31
Chhattisgarh,Raipur,21.26,81.69
Chhattisgarh,Raj Nandgaon,21.17,81.00
Chhattisgarh,Raj-Nandgaon,21.10,81.03
Chhattisgarh,Ramanuj Ganj,23.81,83.70
Chhattisgarh,Ratanpur,22.29,82.17
Chhattisgarh,Sakti,22.03,82.96
Chhattisgarh,Saraipali,21.32,83.01
Chhattisgarh,Sarangarh,21.59,83.08
Chhattisgarh,Seorinarayan,21.72,82.59
Chhattisgarh,Simga,21.63,81.70
Chhattisgarh,Surguja,22.90,83.10
Chhattisgarh,Takhatpur,22.13,81.87
Chhattisgarh,Umarkot,19.67,82.21
Chhattisgarh,Uttar Bastar Kanker,20.20,81.10
Delhi,Alipur,28.80,77.13
Delhi,Bawana,28.80,77.03
Delhi,Deoli,28.50,77.23
Delhi,Karol Bagh,28.65,77.19
Delhi,Najafgarh,28.61,76.98
Delhi,Nangloi Jat,28.68,77.07
Delhi,Narela,28.85,77.09
Delhi,New Delhi,28.64,77.22
Delhi,Pitampura,28.69,77.13
Delhi,Rohini,28.74,77.07
Goa,Aldona,15.59,73.87
Goa,Arambol,15.69,73.70
Goa,Baga,15.57,73.76
Goa,Bambolim,15.46,73.85
Goa,Bandora,15.41,73.98
Goa,Benaulim,15.26,73.93
Goa,Calangute,15.54,73.76
Goa,Candolim,15.52,73.76
Goa,Carapur,15.57,73.99
Goa,Cavelossim,15.17,73.94
Goa,Chicalim,15.40,73.84
Goa,Chinchinim,15.21,73.98
Goa,Colovale,15.64,73.82
Goa,Colva,15.28,73.92
Goa,Cortalim,15.40,73.91
Goa,Cuncolim,15.18,73.99
Goa,Curchorem,15.26,74.11
Goa,Curti,15.42,74.02
Goa,Davorlim,15.27,73.99
Goa,Dicholi,15.59,73.95
Goa,Goa Velha,15.44,73.89
Goa,Guirim,15.58,73.81
Goa,Jua,15.53,73.95
Goa,Kankon,15.03,74.05
Goa,Madgaon,15.28,73.96
Goa,Mapuca,15.59,73.81
Goa,Morjim,15.63,73.74
Goa,Mormugao,15.39,73.81
Goa,Navelim,15.53,73.98
Goa,North Goa,15.53,73.96
Goa,Palle,15.47,74.08
Goa,Panaji,15.50,73.83
Goa,Pernem,15.72,73.80
Goa,Ponda,15.40,74.02
Goa,Quepem,15.21,74.08
Goa,Queula,15.39,73.99
Goa,Raia,15.30,73.97
Goa,Saligao,15.55,73.79
Goa,Sancoale,15.38,73.90
Goa,Sanguem,15.23,74.15
Goa,Sanquelim,15.56,74.01
Goa,Sanvordem,15.26,74.12
Goa,Serula,15.55,73.84
Goa,Solim,15.62,73.77
Goa,South Goa,15.20,74.17
Goa,Taleigao,15.47,73.83
Goa,Vagator,15.60,73.74
Goa,Valpoy,15.53,74.14
Goa,Varca,15.23,73.94
Goa,Vasco da Gama,15.40,73.82
Gujarat,Abrama,20.86,72.91
Gujarat,Adalaj,23.16,72.58
Gujarat,Agol,23.15,72.27
Gujarat,Ahmedabad,23.03,72.59
Gujarat,Ahwa,20.76,73.69
Gujarat,Akrund,23.28,73.12
Gujarat,Amod,21.99,72.87
Gujarat,Amreli,21.51,71.18
Gujarat,Amroli,21.25,72.84
Gujarat,Anand,22.40,72.75
Gujarat,Anjar,23.11,70.03
Gujarat,Ankleshwar,21.63,72.99
Gujarat,Babra,21.85,71.31
Gujarat,Bagasara,21.48,70.95
Gujarat,Bagasra,21.49,70.96
Gujarat,Bakharla,21.73,69.64
Gujarat,Balagam,21.37,70.10
Gujarat,Balasinor,22.96,73.34
Gujarat,Balisana,23.82,72.26
Gujarat,Bamanbore,22.42,71.02
Gujarat,Banas Kantha,24.25,72.50
Gujarat,Bandia,23.40,69.01
Gujarat,Bantva,21.49,70.08
Gujarat,Bardoli,21.12,73.11
Gujarat,Bedi,22.50,70.04
Gujarat,Bhachau,23.30,70.34
Gujarat,Bhadran,22.36,72.90
Gujarat,Bhandu,23.70,72.37
Gujarat,Bhanvad,21.93,69.78
Gujarat,Bharuch,21.69,72.98
Gujarat,Bhatha,21.18,72.77
Gujarat,Bhavnagar,21.76,72.15
Gujarat,Bhayavadar,21.86,70.25
Gujarat,Bhildi,24.18,72.03
Gujarat,Bhojpur Dharampur,23.25,69.67
Gujarat,Bhuj,23.25,69.67
Gujarat,Bilimora,20.77,72.96
Gujarat,Bilkha,21.44,70.60
Gujarat,Borsad,22.41,72.90
Gujarat,Botad,22.17,71.67
Gujarat,Chaklasi,22.65,72.94
Gujarat,Chalala,21.41,71.17
Gujarat,Chaloda,22.80,72.45
Gujarat,Champaner,22.49,73.54
Gujarat,Chanasma,23.71,72.11
Gujarat,Chhala,23.31,72.77
Gujarat,Chhota Udepur,22.30,74.02
Gujarat,Chikhli,20.76,73.06
Gujarat,Chotila,22.42,71.20
Gujarat,Chuda,22.48,71.68
Gujarat,Dabhoda,23.17,72.73
Gujarat,Dabhoi,22.18,73.43
Gujarat,Dahegam,23.17,72.82
Gujarat,Dahod,22.52,74.15
Gujarat,Dakor,22.75,73.15
Gujarat,Damnagar,21.69,71.52
Gujarat,Dandi,21.33,72.62
Gujarat,Dangs,20.75,73.75
Gujarat,Danta,24.19,72.77
Gujarat,Dayapar,23.63,68.90
Gujarat,Delvada,20.78,71.05
Gujarat,Delwada,20.78,71.05
Gujarat,Detroj,23.33,72.18
Gujarat,Devbhumi Dwarka,22.20,69.65
Gujarat,Devgadh Bariya,22.71,73.91
Gujarat,Dhandhuka,22.38,71.99
Gujarat,Dhanera,24.51,72.02
Gujarat,Dhansura,23.35,73.20
Gujarat,Dharampur,20.54,73.17
Gujarat,Dharasana,20.68,72.92
Gujarat,Dhari,21.33,71.03
Gujarat,Dhasa,21.80,71.52
Gujarat,Dhola,21.88,71.77
Gujarat,Dholera,22.25,72.20
Gujarat,Dholka,22.73,72.44
Gujarat,Dhoraji,21.73,70.45
Gujarat,Dhrangadhra,22.99,71.47
Gujarat,Dhrol,22.57,70.42
Gujarat,Dhuwaran,22.24,72.76
Gujarat,Disa,24.26,72.18
Gujarat,Dohad,22.90,74.00
Gujarat,Dumkhal,21.74,73.84
Gujarat,Dungarpur,21.29,71.76
Gujarat,Dwarka,22.24,68.97
Gujarat,Gadhada,21.97,71.58
Gujarat,Gandevi,20.81,73.00
Gujarat,Gandhidham,23.08,70.13
Gujarat,Gandhinagar,23.22,72.68
Gujarat,Gariadhar,21.54,71.58
Gujarat,Ghodasar,24.45,71.85
Gujarat,Ghogha,21.69,72.28
Gujarat,Gir Somnath,20.91,70.37
Gujarat,Godhra,22.78,73.61
Gujarat,Gondal,21.96,70.80
Gujarat,Gorwa,22.33,73.16
Gujarat,Halenda,22.09,71.05
Gujarat,Halol,22.50,73.47
Gujarat,Halvad,23.02,71.18
Gujarat,Hansot,21.58,72.81
Gujarat,Harij,23.69,71.91
Gujarat,Harsol,23.36,73.02
Gujarat,Hathuran,21.50,72.97
